Namn;Märke;Typ;Pris;Förmånsvärde;Url
i20 1.0 T-GDi AUT 100hk  Advanced;Hyundai;Bensin;234 900 kr;4 275 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i20-1-0-t-gdi-aut-100hk-mhev-advanced
i20 1.0 T-GDi AUT 120hk  Advanced;Hyundai;Bensin;239 900 kr;4 339 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i20-1-0-t-gdi-aut-120hk-mhev-advanced
i20 1.0 T-GDi AUT 120hk  N Line;Hyundai;Bensin;249 900 kr;4 467 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i20-1-0-t-gdi-aut-120hk-mhev-n-line
i20 1.6 T-GDi 204hk N;Hyundai;Bensin;259 900 kr;4 595 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i20-1-6-t-gdi-204hk-n
i20 1.6 T-GDi 204hk N Performance;Hyundai;Bensin,Prisökning +3.78 %;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i20-1-6-t-gdi-204hk-n-performance
i30 5dr 1.0 T-GDi 120hk  Pure;Hyundai;Bensin;214 900 kr;4 019 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-120hk-mhev-pure
i30 Kombi 1.0 T-GDi 120hk  Pure;Hyundai;Bensin;224 900 kr;4 147 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-120hk-mhev-pure
i30 5dr 1.0 T-GDi 120hk  Essential;Hyundai;Bensin;229 900 kr;4 211 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-120hk-mhev-essential
i30 5dr 1.0 T-GDi 120hk  Advanced;Hyundai;Bensin;239 900 kr;4 339 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-120hk-mhev-advanced
i30 Kombi 1.0 T-GDi 120hk  Essential;Hyundai;Bensin;239 900 kr;4 339 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-120hk-mhev-essential
i30 5dr 1.5 T-GDi 159hk  Essential;Hyundai;Bensin;244 900 kr;4 403 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-159hk-mhev-essential
i30 5dr 1.0 T-GDi AUT 120hk  Essential;Hyundai;Bensin;244 900 kr;4 403 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-aut-120hk-mhev-essential
i30 5dr 1.0 T-GDi 120hk  N Line;Hyundai;Bensin;249 900 kr;4 467 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-120hk-mhev-n-line
i30 Kombi 1.0 T-GDi 120hk  Advanced;Hyundai;Bensin;249 900 kr;4 467 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-120hk-mhev-advanced
i30 Kombi 1.5 T-GDi 159hk  Essential;Hyundai;Bensin;254 900 kr;4 531 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-159hk-mhev-essential
i30 Kombi 1.0 T-GDi AUT 120hk  Essential;Hyundai;Bensin;254 900 kr;4 531 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-aut-120hk-mhev-essential
i30 5dr 1.0 T-GDi AUT 120hk  Advanced;Hyundai;Bensin;254 900 kr;4 531 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-aut-120hk-mhev-advanced
i30 5dr 1.5 T-GDi 159hk  Advanced;Hyundai;Bensin;254 900 kr;4 531 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-159hk-mhev-advanced
i30 5dr 1.5 T-GDi AUT 159hk  Essential;Hyundai;Bensin;259 900 kr;4 595 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-aut-159hk-mhev-essential
i30 Fastback 1.0 T-GDi 120hk  N Line;Hyundai;Bensin;259 900 kr;4 595 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-1-0-t-gdi-120hk-mhev-n-line
i30 Kombi 1.0 T-GDi 120hk  N Line;Hyundai;Bensin;259 900 kr;4 595 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-120hk-mhev-n-line
i30 5dr 1.5 T-GDi 159hk  N Line;Hyundai;Bensin;264 900 kr;4 659 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-159hk-mhev-n-line
i30 Kombi 1.0 T-GDi AUT 120hk  Advanced;Hyundai;Bensin;264 900 kr;4 659 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-aut-120hk-mhev-advanced
i30 Kombi 1.5 T-GDi 159hk  Advanced;Hyundai;Bensin;264 900 kr;4 659 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-159hk-mhev-advanced
i30 5dr 1.0 T-GDi AUT 120hk  N Line;Hyundai;Bensin;264 900 kr;4 659 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-0-t-gdi-aut-120hk-mhev-n-line
i30 Kombi 1.5 T-GDi AUT 159hk  Essential;Hyundai;Bensin;269 900 kr;4 723 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-aut-159hk-mhev-essential
i30 5dr 1.5 T-GDi AUT 159hk  Advanced;Hyundai;Bensin;269 900 kr;4 723 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-aut-159hk-mhev-advanced
i30 Kombi 1.0 T-GDi AUT 120hk  N Line;Hyundai;Bensin;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-0-t-gdi-aut-120hk-mhev-n-line
i30 Kombi 1.5 T-GDi 159hk  N Line;Hyundai;Bensin;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-159hk-mhev-n-line
i30 Fastback 1.0 T-GDi AUT 120hk  N Line;Hyundai;Bensin;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-1-0-t-gdi-aut-120hk-mhev-n-line
i30 Fastback 1.5 T-GDi 159hk  N Line;Hyundai;Bensin;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-1-5-t-gdi-159hk-mhev-n-line
i30 5dr 1.5 T-GDi AUT 159hk  N Line;Hyundai;Bensin;279 900 kr;4 851 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-1-5-t-gdi-aut-159hk-mhev-n-line
i30 Kombi 1.5 T-GDi AUT 159hk  Advanced;Hyundai;Bensin;279 900 kr;4 851 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-aut-159hk-mhev-advanced
i30 Kombi 1.5 T-GDi AUT 159hk  N Line;Hyundai;Bensin;289 900 kr;4 978 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-kombi-1-5-t-gdi-aut-159hk-mhev-n-line
i30 Fastback 1.5 T-GDi AUT 159hk  N Line;Hyundai;Bensin;289 900 kr;4 978 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-1-5-t-gdi-aut-159hk-mhev-n-line
i30 5dr 2.0 T-GDi 280hk N;Hyundai;Bensin;369 900 kr;6 002 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-2-0-t-gdi-280hk-n
i30 Fastback 2.0 T-GDi 280hk N;Hyundai;Bensin;379 900 kr;6 130 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-2-0-t-gdi-280hk-n
i30 5dr 2.0 T-GDi AUT 280hk N;Hyundai;Bensin;384 900 kr;6 194 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-5dr-2-0-t-gdi-aut-280hk-n
i30 Fastback 2.0 T-GDi AUT 280hk N;Hyundai;Bensin;394 900 kr;6 322 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-i30-fastback-2-0-t-gdi-aut-280hk-n
IONIQ 5 EV 58kWh 170hk Essential;Hyundai;El;559 900 kr;4 881 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-58kwh-170hk-essential
IONIQ 5 EV 77,4kWh 228hk Essential;Hyundai;El;594 900 kr;5 105 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-77-4kwh-228hk-essential
IONIQ 5 EV 58kWh 170hk Advanced;Hyundai;El;599 900 kr;5 137 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-58kwh-170hk-advanced
IONIQ 5 EV 77,4kWh 325hk Essential;Hyundai;El;629 900 kr;5 329 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-77-4kwh-325hk-essential
IONIQ 5 EV 77,4kWh 228hk Advanced;Hyundai;El;634 900 kr;5 361 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-77-4kwh-228hk-advanced
IONIQ 5 EV 77,4kWh 325hk Advanced;Hyundai;El;669 900 kr;5 585 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-ioniq-5-ev-77-4kwh-325hk-advanced
KONA 1.0 T-GDi 120hk Pure;Hyundai;Bensin;219 900 kr;4 083 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-0-t-gdi-120hk-pure
KONA 1.0 T-GDi 120hk Essential;Hyundai;Bensin;229 900 kr;4 211 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-0-t-gdi-120hk-essential
KONA 1.0 T-GDi 120hk AUT Essential;Hyundai;Bensin;244 900 kr;4 403 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-0-t-gdi-120hk-aut-essential
KONA 1.6 T-GDi 198hk AUT Essential;Hyundai;Bensin;259 900 kr;4 595 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-essential
KONA 1.6 GDi HEV AUT 141hk Pure;Hyundai;Elhybrid;269 900 kr;4 723 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-gdi-hev-aut-141hk-pure
KONA 1.6 T-GDi 198hk AUT 4WD Essential;Hyundai;Bensin;274 900 kr;4 787 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-4wd-essential
KONA 1.6 GDi HEV AUT 141hk Essential;Hyundai;Elhybrid;279 900 kr;4 851 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-gdi-hev-aut-141hk-essential
KONA 1.6 T-GDi 198hk AUT Advanced;Hyundai;Bensin;279 900 kr;4 851 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-advanced
KONA 1.6 T-GDi 198hk AUT N Line;Hyundai;Bensin;289 900 kr;4 978 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-n-line
KONA 1.6 T-GDi 198hk AUT 4WD Advanced;Hyundai;Bensin;294 900 kr;5 042 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-4wd-advanced
KONA 1.6 GDi HEV AUT 141hk Advanced;Hyundai;Elhybrid;299 900 kr;5 106 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-gdi-hev-aut-141hk-advanced
KONA 1.6 T-GDi 198hk AUT 4WD N Line;Hyundai;Bensin;304 900 kr;5 170 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-1-6-t-gdi-198hk-aut-4wd-n-line
KONA 2.0 T-GDi 280hk AUT N;Hyundai;Bensin;399 900 kr;6 386 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-2-0-t-gdi-280hk-aut-n
KONA EV 39,2kWh 136hk Pure;Hyundai;El;409 900 kr;3 921 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-39-2kwh-136hk-pure
KONA EV 39,2kWh 136hk Essential;Hyundai;El;419 900 kr;3 985 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-39-2kwh-136hk-essential
KONA EV 39,2kWh 136hk Advanced;Hyundai;El;439 900 kr;4 113 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-39-2kwh-136hk-advanced
KONA EV 64kWh 204hk Pure;Hyundai;El,Prisökning +2.27 %;449 900 kr;4 177 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-64kwh-204hk-pure
KONA EV 64kWh 204hk Essential;Hyundai;El,Prisökning +2.22 %;459 900 kr;4 241 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-64kwh-204hk-essential
KONA EV 64kWh 204hk Advanced;Hyundai;El,Prisökning +2.13 %;479 900 kr;4 369 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-kona-ev-64kwh-204hk-advanced
NEXO FCEV Trend;Hyundai;El;849 900 kr;7 696 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-nexo-fcev-trend
NEXO FCEV Premium;Hyundai;El;879 900 kr;8 080 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-nexo-fcev-premium
Santa Fe 2.2 CRDi 200hk AUT 4WD 7-sits Essential;Hyundai;Diesel;499 900 kr;7 666 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-2-2-crdi-200hk-aut-4wd-7-sits-essential
Santa Fe 1.6 T-GDi 230hk HEV 4WD 7-sits Essential;Hyundai;Elhybrid;534 900 kr;8 114 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-1-6-t-gdi-230hk-hev-4wd-7-sits-essential
Santa Fe 2.2 CRDi 200hk AUT 4WD 7-sits Advanced;Hyundai;Diesel;539 900 kr;8 178 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-2-2-crdi-200hk-aut-4wd-7-sits-advanced
Santa Fe 1.6 T-GDi 230hk HEV 4WD 7-sits Advanced;Hyundai;Elhybrid;574 900 kr;8 626 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-1-6-t-gdi-230hk-hev-4wd-7-sits-advanced
Santa Fe 1.6 T-GDi 265hk PHEV 4WD 7-sits Essential;Hyundai;Laddhybrid;609 900 kr;7 312 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-1-6-t-gdi-265hk-phev-4wd-7-sits-essential
Santa Fe 1.6 T-GDi 265hk PHEV 4WD 7-sits Advanced;Hyundai;Laddhybrid;649 900 kr;7 824 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-santa-fe-1-6-t-gdi-265hk-phev-4wd-7-sits-advanced
Tucson 1.6 T-GDi 150hk  Pure;Hyundai;Bensin;289 900 kr;4 978 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-150hk-mhev-pure
Tucson 1.6 T-GDi 150hk  Essential;Hyundai;Bensin;299 900 kr;5 106 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-150hk-mhev-essential
Tucson 1.6 T-GDi 150hk AUT  Pure;Hyundai;Bensin;309 900 kr;5 234 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-150hk-aut-mhev-pure
Tucson 1.6 T-GDi 150hk AUT  Essential;Hyundai;Bensin;319 900 kr;5 362 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-150hk-aut-mhev-essential
Tucson 1.6 T-GDi 180hk AUT 4WD  Essential;Hyundai;Bensin;344 900 kr;5 682 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-180hk-aut-4wd-mhev-essential
Tucson 1.6 T-GDi 230hp HEV Pure;Hyundai;Elhybrid;354 900 kr;5 810 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-pure
Tucson 1.6 T-GDi 230hp HEV Essential;Hyundai;Elhybrid;364 900 kr;5 938 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-essential
Tucson 1.6 CRDi 136hk AUT 4WD  Essential;Hyundai;Bensin;369 900 kr;6 002 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-crdi-136hk-aut-4wd-mhev-essential
Tucson 1.6 T-GDi 180hk AUT 4WD  Advanced;Hyundai;Bensin;374 900 kr;6 066 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-180hk-aut-4wd-mhev-advanced
Tucson 1.6 T-GDi 230hp HEV 4WD Essential;Hyundai;Elhybrid;379 900 kr;6 130 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-4wd-essential
Tucson 1.6 T-GDi 180hk AUT 4WD  N Line;Hyundai;Bensin;384 900 kr;6 194 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-180hk-aut-4wd-mhev-n-line
Tucson 1.6 T-GDi 230hp HEV Advanced;Hyundai;Elhybrid;394 900 kr;6 322 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-advanced
Tucson 1.6 CRDi 136hk AUT 4WD  Advanced;Hyundai;Bensin,Prisökning +3.90 %;399 900 kr;6 386 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-crdi-136hk-aut-4wd-mhev-advanced
Tucson 1.6 T-GDi 230hp HEV N Line;Hyundai;Elhybrid;404 900 kr;6 450 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-n-line
Tucson 1.6 T-GDi 230hp HEV 4WD Advanced;Hyundai;Elhybrid;409 900 kr;6 514 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-4wd-advanced
Tucson 1.6 T-GDi 230hp HEV 4WD N Line;Hyundai;Elhybrid;419 900 kr;6 642 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-230hp-hev-4wd-n-line
Tucson 1.6 T-GDi 265hp PHEV 4WD Essential;Hyundai;Laddhybrid;454 900 kr;5 328 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-265hp-phev-4wd-essential
Tucson 1.6 T-GDi 265hp PHEV 4WD Advanced;Hyundai;Laddhybrid;484 900 kr;5 712 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-265hp-phev-4wd-advanced
Tucson 1.6 T-GDi 265hp PHEV 4WD N Line;Hyundai;Laddhybrid;494 900 kr;5 840 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/hyundai-tucson-1-6-t-gdi-265hp-phev-4wd-n-line
Grenadier Utility 2-sits, Diesel;INEOS;Diesel;761 200 kr;11 010 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-utility-2-sits-diesel
Grenadier Utility 2-sits, Petrol;INEOS;Bensin;761 200 kr;11 010 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-utility-2-sits-petrol
Grenadier Utility 5-sits, Diesel;INEOS;Diesel;778 600 kr;11 233 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-utility-5-sits-diesel
Grenadier Utility 5-sits, Petrol;INEOS;Bensin;778 600 kr;11 233 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-utility-5-sits-petrol
Grenadier Fieldmaster, Diesel;INEOS;Diesel;869 000 kr;12 390 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-fieldmaster-diesel
Grenadier Fieldmaster, Petrol;INEOS;Bensin;869 000 kr;12 390 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-fieldmaster-petrol
Grenadier Trailmaster, Diesel;INEOS;Diesel;869 000 kr;12 390 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-trailmaster-diesel
Grenadier Trailmaster, Petrol;INEOS;Bensin;869 000 kr;12 390 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/ineos-grenadier-trailmaster-petrol
D-Max Single Cab XRS;Isuzu;Diesel;318 600 kr;5 346 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-single-cab-xrs
D-Max Double Cab XRS;Isuzu;Diesel;337 300 kr;5 585 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrs
D-Max Extended Cab XRM;Isuzu;Diesel;343 600 kr;5 666 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-extended-cab-xrm
D-Max Double Cab XRM;Isuzu;Diesel;362 300 kr;5 905 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrm
D-Max Single Cab XRS CNG;Isuzu;Gas;406 000 kr;5 185 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-single-cab-xrs-cng
D-Max Double Cab XRL;Isuzu;Diesel;412 300 kr;6 545 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrl
D-Max Double Cab XRS CNG;Isuzu;Gas;424 700 kr;5 424 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrs-cng
D-Max Double Cab XRX;Isuzu;Diesel;424 800 kr;6 705 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrx
D-Max Extended Cab XRM CNG;Isuzu;Gas;431 000 kr;5 504 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-extended-cab-xrm-cng
D-Max Double Cab XRM CNG;Isuzu;Gas;449 700 kr;5 744 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrm-cng
D-Max Double Cab XRL CNG;Isuzu;Gas;499 700 kr;6 384 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrl-cng
D-Max Double Cab XRX CNG;Isuzu;Gas;512 200 kr;6 544 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-xrx-cng
D-Max Double Cab AT33;Isuzu;Diesel;574 800 kr;8 625 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-at33
D-Max Double Cab AT35;Isuzu;Diesel;749 800 kr;10 864 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/isuzu-d-max-double-cab-at35
E-Pace 2.0 Liter Diesel  AWD Auto D204 SE;Jaguar;Elhybrid;652 900 kr;9 624 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-e-pace-2-0-liter-diesel-mhev-awd-auto-d204-se
E-Pace 2.0 Liter Diesel  AWD Auto D204 R-Dynamic SE;Jaguar;Elhybrid;679 900 kr;9 970 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-e-pace-2-0-liter-diesel-mhev-awd-auto-d204-r-dynamic-se
E-Pace 2.0 Liter Diesel  AWD Auto D204 R-Dynamic HSE;Jaguar;Elhybrid;724 900 kr;10 546 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-e-pace-2-0-liter-diesel-mhev-awd-auto-d204-r-dynamic-hse
E-Pace 1.5 Liter Bensin PHEV AWD Auto P309e R-Dynamic SE;Jaguar;Laddhybrid;812 900 kr;9 910 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-e-pace-1-5-liter-bensin-phev-awd-auto-p309e-r-dynamic-se
E-Pace 1.5 Liter Bensin PHEV AWD Auto P309e R-Dynamic HSE;Jaguar;Laddhybrid;856 900 kr;10 473 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-e-pace-1-5-liter-bensin-phev-awd-auto-p309e-r-dynamic-hse
F-Pace 2.0D I4 204 PS AWD Auto SE;Jaguar;Elhybrid;712 900 kr;10 392 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-2-0d-i4-204-ps-awd-auto-se
F-Pace 2.0D I4 204 PS AWD Auto R-Dynamic SE;Jaguar;Elhybrid;737 900 kr;10 712 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-2-0d-i4-204-ps-awd-auto-r-dynamic-se
F-Pace 2.0 I4 250 PS AWD Auto R-Dynamic SE;Jaguar;Bensin;742 900 kr;10 776 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-2-0-i4-250-ps-awd-auto-r-dynamic-se
F-Pace 3.0D I6 300 PS AWD Auto SE;Jaguar;Elhybrid;809 900 kr;11 634 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-3-0d-i6-300-ps-awd-auto-se
F-Pace 3.0D I6 300 PS AWD Auto R-Dynamic SE;Jaguar;Elhybrid;833 900 kr;11 941 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-3-0d-i6-300-ps-awd-auto-r-dynamic-se
F-Pace 2.0 I4 PHEV 404 PS AWD Auto SE;Jaguar;Laddhybrid;901 900 kr;11 049 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-2-0-i4-phev-404-ps-awd-auto-se
F-Pace 3.0D I6 300 PS AWD Auto 300 Sport;Jaguar;Elhybrid;920 900 kr;13 054 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-3-0d-i6-300-ps-awd-auto-300-sport
F-Pace 2.0 I4 PHEV 404 PS AWD Auto R-Dynamic SE;Jaguar;Laddhybrid;927 900 kr;11 382 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-2-0-i4-phev-404-ps-awd-auto-r-dynamic-se
F-Pace 3.0 I6 400 PS AWD Auto 400 SPORT;Jaguar;Elhybrid;968 900 kr;13 669 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-3-0-i6-400-ps-awd-auto-400-sport
F-Pace 5.0 V8 S/C 550 PS AWD Auto SVR;Jaguar;Bensin;1 148 900 kr;15 972 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-pace-5-0-v8-s-c-550-ps-awd-auto-svr
